dTime,temperature,light_intensity,wind_speed,humidity
20210501-00:00,14.97,1067663.33,1.645752108,70.18
20210501-01:00,15.53,1704742.18,1.892643654,69.9
20210501-02:00,20.68,2245441.85,1.893805692,46.24
20210501-03:00,20.97,2643048.53,1.99271172,40.41
20210501-04:00,21.11,2861803.15,2.090095692,39.43
20210501-05:00,23.66,2878320.43,2.064000969,33.02
20210501-06:00,23.74,2692543.61,1.988416455,33.39
20210501-07:00,23.7,2317868.13,1.659789143,34.33
20210501-08:00,24.32,1796807.56,1.230365799,35.4
20210501-09:00,24.43,1182546.4,0.519711458,35.54
20210501-10:00,19.43,557330.47,1.185116028,67.48
20210501-11:00,18.46,92803.27,2.546566316,61.52
20210501-12:00,18.93,0,2.522399651,57.65
20210501-13:00,18.81,0,3.149682524,58.72
20210501-14:00,17.18,0,3.655571091,64.83
20210501-15:00,17.07,0,4.158088503,67.22
20210501-16:00,17.03,0,3.936051321,68.48
20210501-17:00,16.14,0,5.197172308,68.38
20210501-18:00,16.08,0,6.303499028,50.79
20210501-19:00,15.15,0,6.031227072,41.64
20210501-20:00,12.85,0,5.786129967,44.75
20210501-21:00,12.83,0,5.281912532,46.08
20210501-22:00,15.68,48189.59,4.980542139,35.03
20210501-23:00,15.67,451131.74,4.634058696,42.1
20210502-00:00,15.77,1064969.99,5.263962386,44.53
20210502-01:00,15.83,1694951.44,5.297593793,45.46
20210502-02:00,18.82,2235838.84,5.199942307,36.47
20210502-03:00,18.71,2594550.59,5.264465785,35.4
20210502-04:00,18.75,2743800.19,5.103175482,34.79
20210502-05:00,20.18,2743173.57,4.859711926,33.54
20210502-06:00,20.19,2617393.75,4.698638101,32.74
20210502-07:00,20.22,1997609.13,4.736464927,32.28
20210502-08:00,19.2,1501382.67,4.616503006,37.34
20210502-09:00,19.23,940728.24,4.058990022,39
20210502-10:00,17.01,418867.31,3.375351834,48.78
20210502-11:00,17.16,70124.53,3.17,48.67
20210502-12:00,17.49,0,3.890462697,48.7
20210502-13:00,17.49,0,4.743374326,49.7
20210502-14:00,16.46,0,5.411922025,53.76
20210502-15:00,15.46,0,5.384876972,56.38
20210502-16:00,15.22,0,5.004328127,55.67
20210502-17:00,14.29,0,4.704763543,58.6
20210502-18:00,14.25,0,4.56303627,58.84
20210502-19:00,14.29,0,4.66472936,59.26
20210502-20:00,13.46,0,4.464302857,66.48
20210502-21:00,13.38,0,4.410725564,68.35
20210502-22:00,16.07,48192.81,4.809261898,65.53
20210502-23:00,16.32,430032.55,4.876474136,65.6
20210503-00:00,16.46,958489.37,5.456308276,64.78
20210503-01:00,16.92,1630289.49,5.12039061,63.75
20210503-02:00,21.59,2133245.1,4.687771325,57.98
20210503-03:00,22.17,2532043.01,4.898132297,56.22
20210503-04:00,23.1,2742630.11,5.17880295,53.41
20210503-05:00,24.77,2690835.23,4.911537438,56.05
20210503-06:00,25.39,2146875.33,4.136786192,55.08
20210503-07:00,25.72,1487285.63,3.172774811,53.52
20210503-08:00,24.02,833148.01,1.611862277,63.11
20210503-09:00,23.89,479443.46,0.976217189,66.21
20210503-10:00,21.76,196559.32,2.438216561,80.16
20210503-11:00,20.75,38221.45,2.652772135,82.28
20210503-12:00,20.14,0,2.456603346,83.57
20210503-13:00,19.83,0,2.277586442,85.4
20210503-14:00,19.5,0,1.810994202,90.68
20210503-15:00,18.53,0,1.659397481,97.57
20210503-16:00,20.13,0,1.94833262,88.08
20210503-17:00,18.59,0,2.39827021,96.98
20210503-18:00,18.48,0,2.089712899,98.03
20210503-19:00,18.72,0,0.902718118,97.71
20210503-20:00,18.45,0,2.770072201,98.42
20210503-21:00,18.41,0,3.63209306,99.97
20210503-22:00,18.38,8746.07,4.088924064,95.23
20210503-23:00,17.92,141356.88,3.698175226,95.8
20210504-00:00,17.27,306008.46,4.240106131,96.68
20210504-01:00,16.1,395377.74,5.533552205,98.48
20210504-02:00,16.8,365887,5.596972396,88.22
20210504-03:00,16.18,421616.64,6.077014069,90.76
20210504-04:00,17.55,1316991.35,6.920325137,82.55
20210504-05:00,20.91,1730254.15,7.030348498,64.99
20210504-06:00,21.88,2066706.48,6.197757659,61.33
20210504-07:00,22.46,1966460.39,5.509237697,58.9
20210504-08:00,22.87,1545348.34,4.746630384,52.51
20210504-09:00,22.49,1083588.41,3.974644638,53.35
20210504-10:00,19.04,511882.97,3.59923603,58.84
20210504-11:00,19.55,89537.47,4.143669871,50.13
20210504-12:00,19.77,0,3.347013594,45.05
20210504-13:00,18.52,0,2.163330765,50.83
20210504-14:00,15.59,0,2.388053601,68.55
20210504-15:00,15.9,0,2.422003303,70.22
20210504-16:00,15.74,0,2.265502152,73.85
20210504-17:00,13.44,0,2.23725278,85.22
20210504-18:00,12.97,0,2.464568928,85.93
20210504-19:00,12.67,0,2.910841803,87.69
20210504-20:00,10.78,0,2.900792995,94.82
20210504-21:00,11.4,0,2.878628145,91.34
20210504-22:00,17.25,58308.68,1.978004044,70.68
20210504-23:00,18.73,482616.5,2.401686907,63.3
20210505-00:00,19.12,1094138.52,2.301695028,59.54
20210505-01:00,19.53,1738980.54,2.561288738,59.12
20210505-02:00,24.9,2281043.79,2.731483114,43.94
20210505-03:00,25.01,2659351.11,2.47018218,44.25
20210505-04:00,24.9,2611893,2.095542889,42.31
20210505-05:00,26.6,2667779.31,2.367994932,30.22
